REGION,Doedsaarsag,Koen2,Alder2,Aar,VAERDI
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2002,58.318
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2003,57.332
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2004,55.592
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2005,54.669
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2006,55.174
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2007,55.289
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2008,54.273
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2009,54.526
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2010,54.029
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2011,52.205
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2012,52.011
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2013,52.179
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2014,50.992
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2015,52.222
Hele landet,Alle dødsårsager,Begge køn,Alle aldre,2016,52.490
Hele landet,Alle dødsårsager,Begge køn,0-4,2002,334
Hele landet,Alle dødsårsager,Begge køn,0-4,2003,344
Hele landet,Alle dødsårsager,Begge køn,0-4,2004,334
Hele landet,Alle dødsårsager,Begge køn,0-4,2005,333
Hele landet,Alle dødsårsager,Begge køn,0-4,2006,260
Hele landet,Alle dødsårsager,Begge køn,0-4,2007,314
Hele landet,Alle dødsårsager,Begge køn,0-4,2008,314
Hele landet,Alle dødsårsager,Begge køn,0-4,2009,237
Hele landet,Alle dødsårsager,Begge køn,0-4,2010,250
Hele landet,Alle dødsårsager,Begge køn,0-4,2011,246
Hele landet,Alle dødsårsager,Begge køn,0-4,2012,236
Hele landet,Alle dødsårsager,Begge køn,0-4,2013,235
Hele landet,Alle dødsårsager,Begge køn,0-4,2014,257
Hele landet,Alle dødsårsager,Begge køn,0-4,2015,236
Hele landet,Alle dødsårsager,Begge køn,0-4,2016,238
Hele landet,Alle dødsårsager,Begge køn,5-9,2002,30
Hele landet,Alle dødsårsager,Begge køn,5-9,2003,33
Hele landet,Alle dødsårsager,Begge køn,5-9,2004,32
Hele landet,Alle dødsårsager,Begge køn,5-9,2005,26
Hele landet,Alle dødsårsager,Begge køn,5-9,2006,32
Hele landet,Alle dødsårsager,Begge køn,5-9,2007,26
Hele landet,Alle dødsårsager,Begge køn,5-9,2008,27
